id,manual,semestre,unidad,unidad_titulo,tipo,paginas_ocupa,rol,pagina_pdf_estimada,pdf_destino,imagen_destino,imagen_existe,archivo_prompt,fuente_md,fuente_md_linea,descripcion
M1-sem1-01,1,1,sem1,Front/Back matter — Semestre 1,ilustracion,1,contenido del manual,1,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-01.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-01__ilustracion__contenido-del-manual__pp1.md,manuales/manual-1/semestre-1/00-portada.md,18,Ilustración hero de portada para el Semestre 1 del Manual 1: Química Albatros. Composición editorial vertical con el log
M1-sem1-02,1,1,sem1,Front/Back matter — Semestre 1,ilustracion,0.5,contenido del manual,1,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-02.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-02__ilustracion__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/00-portada.md,26,"Pieza de créditos editoriales: logo Albatros centrado en azul Albatros sobre fondo blanco, debajo el texto 'Grupo Cultur"
M1-sem1-03,1,1,sem1,Front/Back matter — Semestre 1,ilustracion,0.5,contenido del manual,3,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-03.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-03__ilustracion__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/01-carta-estudiante.md,39,"Ilustración cálida de un estudiante mexicano de bachillerato sentado en su escritorio con el manual abierto, lápiz en ma"
M1-sem1-04,1,1,sem1,Front/Back matter — Semestre 1,cuadro-comparativo,0.5,contenido del manual,5,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-04.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-04__cuadro-comparativo__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/02-carta-docente.md,56,Cuadro comparativo de 3 columnas: 'Enfoque tradicional' vs 'Enfoque Albatros' vs 'Beneficio esperado'. Filas: rol del do
M1-sem1-05,1,1,sem1,Front/Back matter — Semestre 1,infografia,1,contenido del manual,6,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-05.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-05__infografia__contenido-del-manual__pp1.md,manuales/manual-1/semestre-1/03-mapa-contenidos.md,17,"Infografía vertical tipo mapa visual del semestre 1 del manual Química Albatros: en la parte superior, el título del cas"
M1-sem1-06,1,1,sem1,Front/Back matter — Semestre 1,linea-tiempo,1,contenido del manual,8,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-06.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-06__linea-tiempo__contenido-del-manual__pp1.md,manuales/manual-1/semestre-1/04-hilo-conductor.md,30,"Línea de tiempo horizontal del semestre 1: en el extremo izquierdo, el problema inicial del case study 'Agua escolar sal"
M1-sem1-07,1,1,sem1,Front/Back matter — Semestre 1,cuadro-comparativo,1,contenido del manual,10,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-07.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-07__cuadro-comparativo__contenido-del-manual__pp1.md,manuales/manual-1/semestre-1/05-competencias.md,37,"Tabla extendida del índice de competencias del semestre con columnas: ID, descripción corta, verbo Bloom, % del manual d"
M1-sem1-08,1,1,sem1,Front/Back matter — Semestre 1,grafica,0.5,contenido del manual,12,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-08.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-08__grafica__contenido-del-manual__pp0p5.md,manuales/manual-1/semestre-1/06-diagnostica.md,77,"Gráfica de radar de 5 ejes para autoevaluación inicial: 1) Familiaridad con el tema, 2) Confianza para practicar, 3) Acc"
M1-sem1-09,1,1,sem1,Front/Back matter — Semestre 1,ilustracion,1,contenido del manual,250,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-09.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-09__ilustracion__contenido-del-manual__pp1.md,manuales/manual-1/semestre-1/90-cierre-semestre.md,57,Ilustración de cierre cálida: un estudiante revisando su portafolio terminado con varias hojas y evidencias del case stu
M1-sem1-10,1,1,sem1,Front/Back matter — Semestre 1,infografia,1,contenido del manual,253,dist/manual-1-sem-1.pdf,assets/visuales/manual-1/sem1/M1-sem1-10.jpg,sí,assets/prompts-visuales/manual-1/sem-1/sem1/M1-sem1-10__infografia__contenido-del-manual__pp1.md,manuales/manual-1/semestre-1/91-material-extra.md,91,"Infografía resumen del semestre completo en una sola hoja: panel superior con el case study, panel medio con las 4 unida"
